Time,Ue,Ui1,Ui2,V1,V2,W12
0.25,9.449898887817676,18.7757986361861,34.3518142976142,9.325899748368423,24.90191540979652,-15.576015661428098
0.44375,8.701818683680166,17.475120120804522,30.09815043617815,8.825342792172815,21.396331604542326,-12.56605822530239
0.6375,7.6420169592096965,15.939939537084145,26.178135902788938,8.381323894449588,18.536118874790706,-10.146372688851399
0.8312499999999999,6.3280898687569325,14.201216260063374,22.511730628909696,7.973073658154954,16.183640817674153,-8.200352963633607
1.025,4.823767417289721,12.3037891179617,19.054707818841297,7.586413833514392,14.23094044258247,-6.634020166690981
1.21875,3.1957122645721565,10.301976994526434,15.789976889516645,7.212430444104269,12.594264654461558,-5.372020612512342
1.4125,1.5113811520246592,8.256147954292384,12.720580951491026,6.8464726294033795,11.209199818942839,-4.35400438767327
1.6062500000000002,-0.16313475438164993,6.229416981946144,9.863578954932265,6.487285862585196,10.026713727376652,-3.53167928422423
1.8000000000000003,-1.7652494876447,4.284542061107803,7.244678955260369,6.13623309521044,9.009928441449125,-2.866431293188587
1.9937500000000004,-3.2378711180648048,2.4810761038092837,4.893604841166253,5.7965879909989155,8.131475955143781,-2.327403695282181
2.1875000000000004,-4.531172119797796,0.8728544040901647,2.840149782696726,5.472895640852609,7.371321897191495,-1.889947863878581
2.3812500000000005,-5.6040585632299384,-0.4941278951705046,1.1109133676180165,5.170399358937384,6.714971925609352,-1.534375989509861
2.5750000000000006,-6.425290149918476,-1.583399622306383,-0.2732952121780099,4.894534323160119,6.151994934332719,-1.2449593760066575
2.7687500000000007,-6.97421347030393,-2.369226482822077,-1.2994005507982178,4.650489983197903,5.674812918455774,-1.009125795949518
2.962500000000001,-7.241090455981924,-2.8373366364359374,-1.9633718346287548,4.442843430297007,5.277718622495812,-0.8168174036599072
3.156250000000001,-7.227021015323607,-2.9851590484080663,-2.270930631778609,4.275265544035579,4.956090386510485,-0.6599775454983275
3.350000000000001,-6.943474926469598,-2.8215911389492176,-2.237695419656956,4.150300809350182,4.705779510791868,-0.5321407461292327
3.543750000000001,-6.411462850178633,-2.3663276835767255,-1.8888133428033336,4.069220401490776,4.52264951148805,-0.42810520086808584
3.737500000000001,-5.6603892186007325,-1.6487968608240862,-1.2581399067734864,4.031946607780086,4.402249315098042,-0.34367129109679445
3.9312500000000012,-4.726640352624615,-0.7067613117749173,-0.3870362341032598,4.037045009827945,4.339604118577283,-0.2754330275439636
4.125000000000001,-3.651969222429185,0.41534816669968533,0.6771394202252115,4.081779198130327,4.329108641152591,-0.22061204782423582
4.3187500000000005,-2.4817440578012686,1.6682926466024952,1.8827639228184312,4.162221299048215,4.3645079779724885,-0.17692586556510595
4.5125,-1.2631301199872857,2.999999976533954,3.1758215101289684,4.273410191050488,4.4389516277007806,-0.14248379377231626
4.70625,-0.043274394966889895,4.357575834828249,4.5018320446725655,4.40954823406529,4.545106431116846,-0.1157052274799637
4.8999999999999995,1.1324399597241406,5.68927459012335,5.807754394943185,4.564226614442963,4.675314433583382,-0.09525595887255026
5.093749999999999,2.2220063502704157,6.946355139723197,7.043788225611504,4.730668682821885,4.821781874098807,-0.07999908316688681
5.287499999999999,3.1882229619433575,8.08476031598887,8.165009536353965,4.901981175104229,4.976786572724457,-0.06895750827255985
5.481249999999998,3.9998869273683133,9.066559447630365,9.132777974151931,5.071402678824632,5.132891045172409,-0.0612858088814417
5.674999999999998,4.632721647695067,9.861112426781098,9.91587194440704,5.2325399886632455,5.283150296366566,-0.05624935993596943
5.868749999999998,5.07001200526863,10.445920567964935,10.49131617409136,5.379583552004612,5.42130416778677,-0.05320914017808386
6.062499999999997,5.302935410824925,10.807144835176048,10.844881099947443,5.507494495814809,5.541945688214495,-0.05161081275176545
6.256249999999997,5.330587699713442,10.93978448760869,10.971246126640889,5.612157119765762,5.640658426139784,-0.050976943961432236
6.449999999999997,5.159714674879289,10.847522266579553,10.873832283863432,5.6904922988609155,5.714117607139566,-0.05090140560747407
6.643749999999996,4.804170465765177,10.54225431584849,10.56432203771024,5.740528890610173,5.760151569558966,-0.0510451710510463
6.837499999999996,4.284132899517687,10.043334124390581,10.061894771279915,5.76143198288784,5.777761868182718,-0.05113290397888267
7.031249999999996,3.625114542057548,9.376569297635735,9.392216747666922,5.753488441599611,5.767102200256158,-0.0509498262066842
7.224999999999995,2.856813607031794,8.573017609467524,8.586231515990915,5.718051820444452,5.729417905705866,-0.050338499818398934
7.418749999999995,2.0118531790550116,7.667634407344457,7.678802477240168,5.657450157296473,5.666949297279212,-0.04919526604288679
7.6124999999999945,1.1244605846206168,6.6978274191314515,6.707264048376124,5.574861414463443,5.5828034635955035,-0.047466159471516126
7.806249999999994,0.22913699958432265,5.701975702990294,5.709937131177636,5.474162372911082,5.4808001335319885,-0.045142231584662525
7.999999999999994,-0.6406323867980743,4.717969001098646,4.724665673087503,5.359757533382468,5.365298060749311,-0.04225427514363364
