Time,Ue,Ui,V
0.25,8.981813117105306,25.606532542561098,16.62471942545579
0.4910714285714286,12.683815986770874,26.303646399346093,13.619830013236424
0.7321428571428572,15.90315949657101,27.160903435340828,11.257743928591587
0.9732142857142858,18.471344760532066,27.86582593497086,9.394481160029148
1.2142857142857144,20.2509877256498,28.178795788884976,7.92780808272177
1.455357142857143,21.145965373332743,27.93094303873204,6.78497768397889
1.6964285714285716,21.108472481786805,27.0220182381056,5.913545768675767
1.9375000000000002,20.142800582889194,25.417310412640205,5.274509839245709
2.178571428571429,18.305768166101654,23.143003492761483,4.837235335579226
2.419642857142857,15.703884856608752,20.279668742225546,4.575783894823914
2.6607142857142856,12.487486220993556,16.953846444432962,4.466360233432731
2.901785714285714,8.842228975732155,13.327891367912633,4.48566240345615
3.1428571428571423,4.97847306689674,9.588437623848831,4.609964566435341
3.3839285714285707,1.1191882941458955,5.933977833096558,4.814789528367489
3.624999999999999,-2.512898342133174,2.562147364315947,5.075045724956383
3.8660714285714275,-5.708162103582798,-0.3426483784649087,5.365513722282779
4.107142857142856,-8.282193157282778,-2.620617461614326,5.661575700534525
4.348214285714285,-10.086459477689058,-4.1463731331691935,5.940086348450744
4.5892857142857135,-11.016898659970124,-4.83660709421683,6.180291561848167
4.830357142857142,-11.019940362987793,-4.655231371944581,6.364708986006067
5.071428571428571,-10.095609574667833,-3.6157144761314997,6.479895090189134
5.3125,-8.29753047680597,-1.780494398691548,6.5170360712202395
5.553571428571429,-5.729830247151212,0.742484391710484,6.472314632376615
5.794642857142858,-2.541121652661249,3.805899351747698,6.347020998023047
6.0357142857142865,1.0840877125920207,7.231481609002372,6.147393890154143
6.276785714285715,4.936062697089268,10.820257400153793,5.8841946960211295
6.517857142857144,8.79196747810937,14.364002410675775,5.572034939441655
6.758928571428573,12.428750352368954,17.65724274915056,5.228492394366005
7.0,15.636041972384087,20.50910660203711,4.873064626696301
